time_ms,amp_mean,amp_std,amp_max,phase_std,i_mean,q_mean,label
46743,35.45,13.37,54.64,0.164,-32.36,-13.50,1
46769,33.91,13.06,53.71,0.356,24.30,-22.71,1
46773,33.35,13.79,53.81,0.343,14.35,-29.33,1
47206,30.70,14.43,56.32,1.315,-28.68,9.46,1
47216,34.82,15.47,61.68,0.235,3.49,-34.14,1
47237,32.10,13.87,56.40,0.855,-13.21,28.53,1
47241,33.30,14.49,60.31,0.156,-24.88,-21.49,1
47715,31.47,12.11,50.36,0.728,5.60,30.73,1
47727,30.67,12.16,49.03,0.879,-4.97,30.05,1
47748,35.30,13.41,56.08,0.570,-30.46,-17.65,1
47753,28.02,10.50,45.22,0.935,-21.75,17.25,1
48207,33.14,12.77,53.37,0.770,1.35,32.41,1
48221,32.82,13.07,55.07,0.632,22.15,23.30,1
48257,30.04,13.81,54.92,1.007,-28.39,8.95,1
48702,27.62,16.88,58.90,1.039,-21.80,16.50,1
48715,20.29,11.99,38.91,0.700,8.74,17.84,1
48719,30.34,21.56,75.29,0.681,22.56,19.55,1
48739,30.12,18.74,67.98,1.225,-26.60,13.45,1
48744,29.56,18.50,65.86,0.977,-15.55,24.73,1
49211,34.60,13.35,55.71,0.178,-18.71,-28.48,1
49225,33.67,13.23,51.92,0.580,32.90,1.12,1
49228,35.42,13.06,52.61,1.980,-33.55,9.07,1
49250,34.05,13.63,54.74,0.276,8.87,-32.39,1
49255,32.64,12.97,52.20,0.187,-29.59,-12.65,1
49705,31.50,11.71,50.22,0.307,10.65,-28.78,1
49737,35.64,13.12,53.82,0.620,-32.42,-12.72,1
49757,32.33,12.22,48.37,0.741,9.12,29.89,1
49762,32.89,12.84,54.20,0.379,19.98,-25.13,1
50230,30.74,13.62,55.90,1.178,-24.85,15.19,1
50247,28.69,11.61,47.43,0.868,-0.24,27.78,1
50270,31.08,11.97,48.26,1.399,-28.88,-9.75,1
50704,31.92,13.31,53.94,1.187,-28.47,12.84,1
50716,34.01,13.70,58.05,0.235,-27.99,-17.71,1
50760,31.49,12.59,52.80,0.228,6.18,-30.45,1
51206,31.21,12.35,49.73,0.539,30.63,1.97,1
51226,33.91,12.80,52.80,0.952,-27.45,19.16,1
51255,30.70,11.50,48.05,0.765,0.78,30.17,1
51714,32.69,12.23,48.17,0.939,-25.40,20.11,1
51735,30.61,11.48,47.54,0.230,1.59,-30.14,1
51738,32.68,13.13,52.35,0.543,32.00,-3.05,1
51756,31.66,12.64,48.33,0.774,18.60,24.99,1
51761,28.53,10.67,41.87,0.975,-15.34,23.34,1
52206,30.85,15.48,60.14,0.159,-23.62,-19.23,1
52216,21.64,9.06,34.06,0.226,1.88,-21.38,1
52219,30.91,16.72,63.16,0.548,28.35,11.00,1
52249,28.70,16.48,59.30,2.443,-28.30,2.32,1
52706,18.21,14.75,39.96,0.916,8.61,-15.31,1
52719,19.55,13.67,39.56,1.562,-18.65,5.18,1
52745,28.73,15.61,58.41,0.335,14.43,-24.21,1
52749,29.20,15.68,59.08,0.210,-6.02,-28.12,1
53203,33.95,12.83,52.48,0.538,31.50,11.25,1
53219,30.46,11.87,47.51,0.985,-18.20,23.92,1
53223,31.29,11.95,48.10,0.250,4.20,-30.57,1
53242,30.24,11.55,48.04,0.436,28.64,-7.82,1
53247,35.98,22.71,69.97,0.370,25.22,-24.85,1
53713,30.09,12.42,53.15,0.203,0.09,-29.88,1
53730,30.36,13.42,55.95,0.258,12.77,-27.32,1
53754,27.06,15.54,61.68,0.672,12.17,23.81,1
54203,32.68,12.47,51.55,0.494,32.04,3.71,1
54214,29.10,11.84,46.39,0.912,0.37,28.71,1
54240,32.10,12.14,49.98,2.292,-31.32,-5.48,1
54245,34.99,13.83,54.63,0.391,28.77,-19.37,1
54715,21.79,8.93,36.72,0.855,-8.90,19.60,1
54726,31.66,12.54,50.99,1.844,-30.37,-7.53,1
54752,32.28,12.12,49.73,2.947,-31.83,-1.85,1
55206,28.98,14.10,56.82,0.323,6.97,-27.12,1
55221,30.85,16.50,63.63,0.535,13.54,-26.68,1
55225,27.67,15.15,58.01,0.286,-0.90,-26.89,1
55272,35.13,15.11,61.85,0.171,-32.03,-13.49,1
55276,31.51,13.63,56.09,0.208,1.09,-31.17,1
55703,20.51,11.23,42.20,1.093,-18.46,7.89,1
55715,28.09,15.01,57.31,0.555,26.07,7.81,1
55736,32.66,15.66,62.97,0.437,24.63,-20.07,1
55740,17.51,8.52,36.06,0.841,0.73,17.13,1
56216,35.23,23.71,75.45,0.166,-25.08,-24.07,1
56228,33.98,14.89,59.17,0.130,-21.49,-25.92,1
56248,29.54,13.72,53.85,0.734,15.38,24.68,1
56252,30.24,14.18,56.61,0.274,20.61,-21.63,1
56725,35.20,13.69,54.08,0.461,32.03,-12.91,1
56740,36.24,14.06,56.08,0.402,27.41,-22.55,1
56767,35.65,14.57,56.73,1.142,-28.26,20.91,1
56770,35.98,14.02,55.54,1.358,-33.98,9.96,1
57224,35.10,13.18,53.76,0.760,1.50,34.60,1
57235,34.76,13.64,54.56,0.723,20.19,27.58,1
57267,33.77,12.55,51.11,0.930,-24.94,22.16,1
57272,32.91,13.26,50.25,0.703,26.34,18.91,1
57707,31.37,12.42,49.34,0.212,-16.53,-25.83,1
57724,33.16,12.87,50.16,0.569,32.03,4.61,1
57728,34.37,12.65,50.77,0.295,9.31,-32.26,1
57750,31.62,12.15,48.27,0.588,-25.51,-17.59,1
58200,28.56,18.62,61.20,0.587,27.86,-0.33,1
58214,31.78,17.51,61.03,0.264,2.92,-31.34,1
58236,31.85,16.13,57.49,1.078,-19.28,24.54,1
58239,32.66,16.09,59.46,1.141,-31.10,7.87,1
58713,34.94,17.09,65.80,0.117,-24.82,-24.26,1
58734,32.73,15.91,61.10,0.313,28.25,-15.94,1
58743,32.05,16.04,60.64,1.204,-29.87,10.52,1
58768,33.57,15.20,58.73,0.502,19.57,-26.93,1
59208,33.33,13.23,53.04,0.210,-7.50,-31.91,1
59220,36.87,23.32,70.94,0.914,-24.38,27.17,1
59246,18.94,9.89,37.22,0.405,15.13,-10.79,1
59707,30.99,12.17,48.08,0.840,-11.69,28.39,1
59728,20.19,10.58,41.98,0.994,-18.64,7.00,1
59755,29.79,14.66,59.62,0.129,-10.84,-27.58,1
60200,37.64,14.86,61.29,0.190,-4.35,-36.97,1
60214,30.32,11.98,47.17,0.753,14.39,26.12,1
60237,31.73,12.32,50.22,0.551,28.65,12.59,1
60700,30.81,13.19,52.50,0.383,26.72,-14.50,1
60713,33.63,13.56,52.48,0.145,-31.04,-12.31,1
60718,19.76,8.01,32.31,0.708,6.23,18.44,1
60739,32.94,12.62,51.04,0.487,32.48,1.58,1
60744,33.06,12.50,50.16,0.200,2.76,-32.74,1
61219,31.93,15.03,58.52,1.096,-22.41,22.18,1
61231,31.38,15.91,60.75,1.020,-13.25,27.87,1
61261,28.37,18.71,65.37,0.401,13.11,-24.00,1
61265,17.46,10.68,32.98,0.977,-3.85,16.37,1
61716,32.64,14.36,58.73,0.403,20.44,-23.93,1
61730,31.16,13.07,56.22,0.263,-24.29,-17.80,1
61755,31.16,12.26,49.52,0.660,25.43,16.18,1
