time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
42102;29.37;11.84;48.10;0.612;-28.38;-6.77;0
42120;34.33;14.13;59.08;0.090;-29.87;-16.75;0
42143;29.83;12.71;52.09;0.689;-0.06;29.67;0
42149;31.06;13.52;54.08;1.119;-24.28;19.10;0
42605;29.82;15.98;59.23;1.042;-25.51;11.41;0
42642;33.97;14.90;60.42;0.228;-19.86;-26.56;0
42647;29.48;12.63;52.17;0.708;11.19;26.41;0
42677;29.58;11.60;48.70;0.507;28.46;7.51;0
43107;32.01;14.49;59.51;0.404;27.62;-14.99;0
43125;32.79;14.14;57.22;0.786;-1.60;32.20;0
43148;31.75;20.78;62.65;0.296;9.15;-29.95;0
43152;31.99;13.06;53.81;0.562;-23.33;-21.36;0
43604;30.24;15.33;57.98;0.780;17.78;23.80;0
43620;29.29;15.99;61.55;0.676;22.69;17.62;0
43669;22.37;9.48;34.99;1.067;-11.73;18.47;0
43673;22.98;9.35;35.51;1.805;-21.37;7.13;0
44115;23.26;7.89;34.93;0.304;10.07;-20.54;0
44131;28.84;13.75;56.80;0.422;25.54;-12.07;0
44153;34.11;15.67;57.80;0.363;18.12;-28.27;0
44600;34.21;14.55;57.63;0.356;22.17;-25.42;0
44616;31.00;14.33;54.41;1.043;-14.23;26.98;0
44620;33.21;14.85;58.69;2.730;-32.65;3.58;0
44644;29.86;13.84;53.54;0.574;22.53;19.10;0
44647;33.18;15.27;59.03;0.534;31.18;9.90;0
45100;33.50;13.89;52.84;0.770;12.52;30.47;0
45119;35.34;13.43;54.45;0.260;8.26;-33.78;0
45122;34.04;13.85;55.15;0.925;-0.07;33.30;0
45142;30.90;11.97;48.60;0.994;-27.04;13.54;0
45146;21.50;8.84;35.01;0.277;2.13;-20.97;0
45613;32.73;14.93;59.64;0.931;-12.70;29.70;0
45624;34.29;14.14;59.03;0.451;33.39;-5.34;0
45648;31.75;12.21;51.87;0.232;5.37;-30.94;0
46110;32.07;14.02;56.82;0.944;-24.94;19.38;0
46120;29.17;12.89;52.15;0.857;-12.09;26.03;0
46124;29.21;13.00;51.62;0.306;10.96;-26.62;0
46147;32.68;15.89;62.37;0.184;-22.04;-23.49;0
46156;30.87;15.62;60.53;0.581;30.28;2.62;0
46608;31.06;16.40;62.94;0.212;7.32;-30.05;0
46626;28.28;13.55;53.81;0.727;20.09;19.44;0
46653;34.68;13.63;57.58;0.595;-32.67;-11.13;0
46657;30.96;12.45;50.64;0.159;-5.45;-30.32;0
47103;31.00;13.09;52.09;2.981;-30.70;0.15;0
47117;35.46;14.16;59.03;0.137;-30.69;-17.16;0
47140;30.32;13.31;55.00;0.591;24.58;17.10;0
47143;21.40;9.43;38.60;0.526;20.40;5.30;0
47619;26.73;18.59;69.12;2.196;-13.27;-13.87;0
47648;27.96;19.24;70.00;0.481;-16.54;-20.69;0
47652;21.03;11.91;40.79;2.534;-19.80;2.51;0
47679;29.94;18.26;71.59;0.354;-16.18;-23.73;0
47683;20.63;9.63;36.77;0.291;-7.76;-18.47;0
48111;32.85;14.38;55.32;0.574;31.12;9.65;0
48127;33.96;15.01;57.27;0.121;-11.29;-31.91;0
48154;34.68;22.10;64.14;0.701;21.69;26.35;0
48603;20.88;8.62;35.36;0.633;19.36;6.92;0
48615;30.62;11.74;49.34;0.490;30.05;1.90;0
48638;32.44;13.54;57.01;0.675;6.89;30.82;0
48642;32.20;13.39;55.90;0.712;11.58;29.12;0
49121;29.76;11.26;43.19;0.602;23.20;17.89;0
49137;33.90;14.31;58.14;0.851;0.73;33.22;0
49155;29.18;11.78;49.03;0.560;26.82;9.54;0
49164;32.84;12.59;51.97;0.216;-11.59;-30.01;0
49603;23.49;7.49;33.96;0.496;6.17;-22.34;0
49619;22.61;9.09;34.01;0.600;-21.30;-7.17;0
49643;18.64;11.41;38.08;0.315;-7.47;-16.47;0
49647;18.07;11.69;37.34;0.446;6.99;-16.06;0
50103;30.37;18.77;67.23;1.130;-26.89;11.46;0
50115;30.67;14.77;53.82;0.172;-26.70;-14.49;0
50136;33.40;13.57;55.23;2.552;-32.97;2.58;0
50140;31.51;13.91;55.95;0.898;-6.94;30.12;0
50614;29.72;15.58;55.22;0.613;-25.39;-14.94;0
50625;27.51;13.70;50.12;0.594;25.01;10.04;0
50652;31.31;13.36;56.29;0.945;-11.45;28.16;0
51109;20.39;8.25;34.23;2.811;-20.21;0.38;0
51131;19.69;8.97;33.38;0.405;-0.09;-19.32;0
51162;20.42;8.88;33.96;0.699;-17.77;-7.85;0
51607;26.50;11.96;49.24;0.427;25.50;-6.19;0
51626;33.81;15.27;60.88;0.409;21.88;-24.44;0
51629;30.88;13.54;54.42;2.433;-28.95;-6.77;0
51649;30.44;16.39;55.08;1.105;-4.81;25.02;0
